gene,logFC,pvalue
ARNTL2,0.9206911044808804,0.0001909813489951
CACTIN,-0.7117639400769686,0.0001920967558205
IGK,3.2313751433831417,0.0001933414187981
LOC102723479,1.8450103820268229,0.0001937492346702
GJB1,-1.2587037647911918,0.0002011777129971
PHF11,0.507827964798782,0.0002015246280211
RGS12,-1.9493055066216347,0.0002023039004938
SEMA4A,1.0125813110270627,0.0002051324799249
IL1RL2,-2.090248072162903,0.0002086206456566
IGLJ3,3.1422779852928144,0.0002112244951892
TBL1X,-1.3724609890515411,0.0002121952642962
HSPA4,-1.315804502544963,0.0002131588801045
EDNRB,-1.4805901141825677,0.0002142867364389
MS4A1,2.86951688203548,0.0002146164129713
EEF1A1,-0.2382947010880123,0.000216174997009
PXN,-2.8998948885329785,0.0002167379679457
FUS,-1.0656667385712844,0.0002202765367165
PRDM2,-1.673668131851687,0.0002222303958653
CES1P1,-1.8655351864648724,0.0002247035219217
ZFP36L2,-1.8842051165694444,0.0002252984614152
HRH1,-1.1161223924853108,0.0002270872630599
ANKRD11,-1.5951554410651188,0.0002328769540834
PSMB10,1.0428595094243214,0.0002388381618004
CARD10,0.9534981789271236,0.0002409793681757
SLAMF1,1.4518967574081063,0.0002410331261584
DIP2C,-0.5558236750279573,0.0002439681637565
GZMK,2.6005371244803426,0.0002447376236232
AFTPH,0.3663115127407792,0.0002466577536665
CD72,2.297072330802547,0.0002473658020893
KIF14,0.8686772564806908,0.0002532365328989
SH3BP5,-0.8015320101022141,0.0002554195185398
SRSF5,-2.300939270628877,0.0002564657973138
CCDC9,-0.3929476182806208,0.0002566256788811
BTN3A1,0.9337308825660422,0.0002606947351775
MAST2,-2.386931311446232,0.000261442387575
PRR13,0.4848763714980784,0.0002656967637441
IGHG1,2.8197772627278166,0.0002660671025082
GNPTAB,0.9384709544679256,0.0002661410467289
ITGA4,2.66600648718954,0.000276397700087
LRRC3,-1.7144470843962836,0.0002818235065903
ITGB4,-1.3651563975774863,0.0002818256121839
CLUH,-0.6113878885318691,0.0002844436638392
TPP1,-1.4097852336139525,0.0002860628667671
LAMP1,-1.3839947640744157,0.0002879707206598
NLRP2,1.6145530221306703,0.0002881101312823
GATAD1,-1.0180179993787153,0.0002886230495459
UPF1,-1.1143789260693238,0.0002899990840025
GCH1,1.2266656382388064,0.0002908653362583
RBFADN,-1.8032653848058064,0.0002953283068996
GZMA,1.5689356759408053,0.0003017598706519
MAU2,-1.8147400181817184,0.0003041893586715
SYNGR2,0.7793172823314318,0.0003092397553714
RMI1,0.91507253773033,0.0003167660328835
PXDC1,-0.5894134088541563,0.0003194558228933
