gene,logFC,pvalue
ALG6,0.6490544565099086,5.901030220091347e-06
ANAPC5,-1.5684926597839013,6.022349125145655e-06
FERMT2,-1.409516824550896,6.166662999053117e-06
PDK1,2.3591878709975838,6.7573859222370145e-06
ECT2,0.9480750709556158,7.175532735406932e-06
PCDHGA3,-3.7597552151387488,8.328369020102895e-06
SMARCC1,-0.7285747889529492,8.661739034422645e-06
LOC101928620,4.042894640455029,8.67587533273014e-06
TAP1,1.780542007751098,8.691060447340628e-06
PRPF6,-2.020734752959952,8.831549235396464e-06
OGFR,-2.7007442754615933,9.029131738328994e-06
DUSP1,-4.530451674374157,9.03785038751546e-06
EZR,-2.584890197890302,1.1736804082291714e-05
FOSL2,-2.056302292070429,1.1941345058426239e-05
DAPK3,-1.7715326575964276,1.2259471368391196e-05
PTPRA,-2.580163828620532,1.2372425158576215e-05
BV03S1J2.2,2.0953270115521985,1.3436962523678065e-05
TMPO,0.9812693261732548,1.3840503946437235e-05
SNRNP70,-2.7568997446281673,1.4766134653235187e-05
THOC2,-0.6885441401774681,1.4834665813443415e-05
CSPP1,-1.2596359958488614,1.4892091555498543e-05
PNRC1,-0.9796113958314763,1.5013472877177943e-05
CSF1,-2.5801149799920315,1.5079204014036936e-05
ZNF24,-0.7708565392671343,1.5472632541127994e-05
MCL1,-3.419786947194405,1.6172597392946492e-05
SEL1L3,1.9163595094170898,1.6406522957866995e-05
MFN2,-1.2508107943356466,1.7089862273641068e-05
FOXJ3,-0.7327263998538305,1.7993327249176903e-05
EIF4G2,-2.0669993619685565,1.821609549209958e-05
IDH3B,-0.6641815817359831,2.0143421769501682e-05
C16ORF58,-1.017767637519067,2.018244010820607e-05
TTF1,-0.5824764996444323,2.049587194098243e-05
CYP1B1,-3.6980848172048413,2.099254105469639e-05
ZBTB7C,-2.856991645073536,2.2385507882194725e-05
IL21R,3.3215233528912727,2.302842126972667e-05
C6ORF106,-1.3065500790460156,2.3535686588479644e-05
HTATSF1,-2.7888524959524035,2.357193561671402e-05
BIRC3,1.6043450478747197,2.401235713119741e-05
C8ORF44-SGK3,0.8323772315545979,2.4422125107007678e-05
SFSWAP,-2.58837998855243,2.5805980155658823e-05
ADPGK,0.5522674597435611,2.7335221563096763e-05
GLYR1,-2.2702257054476584,2.7983442134865452e-05
GBP1,1.7124275848061323,2.8161420433959427e-05
JUN,-3.2815426314154355,2.9666788491723855e-05
IGKV1-37,5.142991663048366,3.0303856643000114e-05
EIF4G1,-1.3192887330011764,3.139598153522089e-05
TNKS2,-1.7160272379124288,3.192903593896204e-05
AP5M1,0.5231158004417598,3.231687295349875e-05
CD27,2.2655295416340744,3.282756774431333e-05
ADD1,-1.1510258431117233,3.3555353308828984e-05
TGFBRAP1,-2.1862140300348365,3.399272098732418e-05
EPN1,-1.3008469964414147,3.5633242264220155e-05
GTF2F1,-1.637877661981248,3.6693828820899224e-05
UBC,-0.3547269618075308,3.6736503615774655e-05
WISP3,1.9119372085504125,3.9543365172342395e-05
SLC4A1AP,0.4148364341111659,4.035480919489529e-05
CDH1,2.6609468905449685,4.07838373969907e-05
NFE2L3,1.1180993218480166,4.141700629271897e-05
EPRS,-2.490854265936064,4.158699482539548e-05
ACAP1,3.102532086646331,4.194930695459512e-05
DHX9,-2.004216007914631,4.2581521713679336e-05
IGLC1,5.417973716941821,4.3070711152283484e-05
GVINP1,1.1145923078262214,4.414820435347206e-05
AC128677.4,3.0451257782241647,4.7859168591323706e-05
FBXW4P1,-2.1462638951904944,4.796987760732723e-05
DDR2,-1.0825231265907362,4.883450024937789e-05
APBA2,2.162558102851065,4.9072438255843786e-05
GRK1,-1.2469701258116563,5.079752971890354e-05
CDK11A,-0.8171563575711689,5.126060447091084e-05
CYTH1,-1.4376774476176388,5.259122462253435e-05
PRODH2,-1.0844035376810925,5.45712414199309e-05
TXNIP,-2.1594576537601124,5.4980061637149044e-05
CAMKK2,-2.192926831915379,5.5042801828678655e-05
VOPP1,1.069936981975422,5.504873453216822e-05
CKAP2,4.635991441024928,5.551292345144566e-05
NPHP4,-1.1428376545068977,5.559301061522654e-05
ZDHHC6,0.5883403948180703,5.7151337013288664e-05
SRRT,-2.3734652963750493,5.755190521391705e-05
SF3B1,-1.0351267331736018,5.882919295970337e-05
CNTRL,0.6080866334132091,5.883779952950684e-05
PRKX,1.0427047262721807,5.9872810967036456e-05
LOC101930075,-1.666198826404604,6.119083645623055e-05
