gene,logFC,pvalue
STK10,0.6459476615100357,0.0011291106262546
TXN2,-0.5427363180162956,0.0011302770109277
PSMD10,0.4422638530462297,0.0011360880943234
THAP1,0.7907035176761932,0.0011543055140163
TNFSF10,1.0238013463884066,0.0011665709293271
IGFBP5,-1.2092062689073408,0.0011739187007614
HAUS3,0.6715878716076267,0.0011751774775423
POT1,0.6771199122878269,0.0011786348070501
NUDT3,-1.2132265536529123,0.0011789237442528
CCNB2,0.8774025493575914,0.0011916539997569
EDC3,-0.5438542695184552,0.0011920494919956
CRTAM,1.9311781462231967,0.0011944993590972
ADM2,-1.5208144843616376,0.0012033331151202
RAD51AP1,1.2396861384840443,0.0012088475945791
MTCH1,0.1381362657610214,0.0012217938765019
SORBS3,-1.2340862617418713,0.0012349051802868
LLGL2,0.7074876052678851,0.001235262967506
HNRNPU,-2.4334753063840657,0.0012360832130536
PPP5C,-0.5962653649419085,0.0012385587926678
BCL2L1,-1.039755231347823,0.0012420618120309
KCNK3,-1.5573236504509491,0.0012459751007851
IFNA8,1.7127006679411851,0.0012502021956092
TRIM3,-1.855085993668613,0.0012513235755947
RAB8A,0.4909186073552227,0.0012581236973664
FOXC1,-0.8555236127520214,0.0012796618450786
ZBTB5,0.2877357521101817,0.001284816154482
PIM2,1.4214579663057618,0.0012882629165079
PLEKHO1,1.045778231166869,0.0013039508461681
TRDMT1,0.6867543344896747,0.001304073091161
NR4A1,-2.476393345737578,0.0013082385433103
ATP2A2,-1.3844046426342853,0.0013083316209546
CD2,1.7232385305759017,0.0013175831108827
CSNK1G2,-1.15145842154583,0.0013290136345475
EBAG9,0.4668879898440874,0.0013310924337647
ASH2L,0.4085712135278037,0.0013326761642794
NDUFB2-AS1,-1.1287091926794286,0.0013392581826236
TRIM46,-1.580369104098795,0.0013444791987705
BRINP1,-0.7453328099839247,0.0013477206514222
BLNK,1.2547160103075967,0.0013523497114377
UBE2J1,0.798714627556171,0.0013531769209298
PARP1,0.3031690123826998,0.0013553152468307
CEP170B,-0.6137809936944212,0.0013554173555441
VPS53,-1.8511147573130748,0.0013571444705023
CRELD2,0.8670077725771783,0.0013644630956998
DPP8,0.3468112819137019,0.0013846050997102
FKSG49,-0.6880990095286883,0.0013884358155289
